station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
11+65,1165,82,819,500,390,278,219,0,51,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,26,832.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
12+00,1200,82,823,514,403,287,229,0,50,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,826.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,110.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
12+50,1250,82,588,358,283,216,168,0,37,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,843.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,110.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
13+00,1300,83,838,522,409,298,235,0,53,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,822.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,113.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
13+50,1350,83,820,514,407,294,232,0,52,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,812.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,124.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
14+00,1400,83,799,502,395,287,221,0,57,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,819.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,130.3,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
14+50,1450,83,553,336,262,202,156,0,39,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,808.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,115.3,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
15+00,1500,84,815,508,394,291,228,0,56,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,795.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,88.9,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
15+50,1550,84,811,511,397,291,233,0,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,29,861.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
16+00,1600,84,773,490,385,278,221,0,50,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,34,870.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
16+50,1650,84,557,338,262,197,151,0,35,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,36,927.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,59,139.2,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
