station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
11+65,1165,45,664,422,343,251,202,2,47,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,30,833.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
12+00,1200,45,667,424,343,249,202,2,45,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,826.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,113.5,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
12+50,1250,45,436,264,220,161,125,2,34,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,844.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,114.2,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
13+00,1300,46,663,416,337,248,197,2,49,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,31,822.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,112.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
13+50,1350,46,652,411,337,245,198,2,45,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,813.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,129.2,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
14+00,1400,46,637,403,327,241,193,2,46,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,819.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,12,144.4,0.0,3,"(0.0, 0.0, 0.0)",0.24,['dash_ratio'],--,
14+50,1450,46,635,402,325,235,180,2,53,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,808.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,12,127.3,0.0,3,"(0.0, 0.0, 0.0)",0.24,['dash_ratio'],--,
15+00,1500,46,406,248,204,160,129,2,29,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,32,795.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,5,89.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
15+50,1550,47,674,422,334,249,199,2,48,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,35,861.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,53,98.0,0.0,4,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
16+00,1600,47,634,403,321,234,188,2,44,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,870.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,208,479.3,0.0,11,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
