page_number,drawings_count,images_count,text_blocks_count,page_width,page_height,classification
1,24995,1,258,1224.0,792.0,HYBRID
2,1871,5,57,1224.0,792.0,HYBRID
3,2853,0,124,1224.0,792.0,VECTOR
4,463,0,33,1224.0,792.0,VECTOR
5,4458,15,65,1224.0,792.0,HYBRID
6,1582,0,150,1224.0,792.0,VECTOR
7,4255,0,107,1224.0,792.0,VECTOR
8,3587,0,253,1224.0,792.0,VECTOR
9,1239,0,60,1224.0,792.0,VECTOR
10,316,64,32,1224.0,792.0,HYBRID
11,307,45,44,1224.0,792.0,HYBRID
12,309,40,24,1224.0,792.0,HYBRID
13,307,32,33,1224.0,792.0,HYBRID
14,563,0,49,1224.0,792.0,VECTOR
15,555,0,45,1224.0,792.0,VECTOR
16,1928,0,98,1224.0,792.0,VECTOR
17,4120,0,129,1224.0,792.0,VECTOR
18,5414,0,163,1224.0,792.0,VECTOR
19,5062,0,100,1224.0,792.0,VECTOR
20,15141,0,105,1224.0,792.0,VECTOR
21,7113,0,94,1224.0,792.0,VECTOR
22,44889,0,81,1224.0,792.0,VECTOR
23,29847,0,89,1224.0,792.0,VECTOR
24,5256,0,71,1224.0,792.0,VECTOR
25,1317,0,71,1224.0,792.0,VECTOR
26,1101,0,97,1224.0,792.0,VECTOR
27,1062,0,103,1224.0,792.0,VECTOR
28,948,0,96,1224.0,792.0,VECTOR
29,1388,0,111,1224.0,792.0,VECTOR
30,1225,0,107,1224.0,792.0,VECTOR
31,1128,0,106,1224.0,792.0,VECTOR
32,958,0,81,1224.0,792.0,VECTOR
33,2092,0,109,1224.0,792.0,VECTOR
34,1195,0,74,1224.0,792.0,VECTOR
35,21500,0,262,1224.0,792.0,VECTOR
36,10907,0,129,1224.0,792.0,VECTOR
37,7574,0,130,1224.0,792.0,VECTOR
38,12384,0,81,1224.0,792.0,VECTOR
39,13624,0,96,1224.0,792.0,VECTOR
40,7593,0,89,1224.0,792.0,VECTOR
41,50802,0,81,1224.0,792.0,VECTOR
42,30517,0,71,1224.0,792.0,VECTOR
43,1826,0,63,1224.0,792.0,VECTOR
44,1548,0,64,1224.0,792.0,VECTOR
45,1563,0,84,1224.0,792.0,VECTOR
46,2243,0,109,1224.0,792.0,VECTOR
47,2752,0,133,1224.0,792.0,VECTOR
48,2195,0,106,1224.0,792.0,VECTOR
49,2277,0,113,1224.0,792.0,VECTOR
50,1882,0,97,1224.0,792.0,VECTOR
51,1875,0,99,1224.0,792.0,VECTOR
52,1816,0,95,1224.0,792.0,VECTOR
53,1908,0,93,1224.0,792.0,VECTOR
54,1511,0,79,1224.0,792.0,VECTOR
55,1580,0,83,1224.0,792.0,VECTOR
56,1224,0,70,1224.0,792.0,VECTOR
57,1695,0,91,1224.0,792.0,VECTOR
58,1864,0,93,1224.0,792.0,VECTOR
59,1929,0,94,1224.0,792.0,VECTOR
60,1834,0,95,1224.0,792.0,VECTOR
61,1789,0,92,1224.0,792.0,VECTOR
62,1746,0,84,1224.0,792.0,VECTOR
63,1729,0,84,1224.0,792.0,VECTOR
64,1699,0,84,1224.0,792.0,VECTOR
65,1712,0,84,1224.0,792.0,VECTOR
66,1709,0,84,1224.0,792.0,VECTOR
67,1625,0,86,1224.0,792.0,VECTOR
68,1487,0,76,1224.0,792.0,VECTOR
69,764,0,46,1224.0,792.0,VECTOR
70,7565,0,124,1224.0,792.0,VECTOR
71,12894,0,155,1224.0,792.0,VECTOR
72,8311,0,82,1224.0,792.0,VECTOR
73,14196,0,99,1224.0,792.0,VECTOR
74,6322,0,77,1224.0,792.0,VECTOR
75,48452,0,81,1224.0,792.0,VECTOR
76,33058,0,74,1224.0,792.0,VECTOR
77,1994,0,70,1224.0,792.0,VECTOR
78,1721,0,75,1224.0,792.0,VECTOR
79,25272,0,269,1224.0,792.0,VECTOR
80,87205,25,139,1224.0,792.0,HYBRID
81,923,0,60,1224.0,792.0,VECTOR
82,1974,0,121,1224.0,792.0,VECTOR
83,2472,0,148,1224.0,792.0,VECTOR
84,2426,0,134,1224.0,792.0,VECTOR
